"Date","Time","Group","Latitude","Longitude","Altitude","Forest Type","Hole Diameter","Week","Group color"
"2/07/2015","2:38:55 PM","blue 2",-25.55766062,153.06720971,137.199996948242,"Tall Open",11,"Week 2","blue"
"2/07/2015","2:39:50 PM","blue 2",-25.55771303,153.06726567,138.899993896484,"Tall Open",9,"Week 2","blue"
"2/07/2015","2:40:38 PM","blue 2",-25.55772619,153.06727643,143.100006103516,"Tall Open",9,"Week 2","blue"
"2/07/2015","2:41:59 PM","blue 2",-25.55792461,153.06729045,133.899993896484,"Tall Open",10,"Week 2","blue"
"2/07/2015","2:44:58 PM","blue 2",-25.55830643,153.06737166,138.899993896484,"Tall Open",7,"Week 2","blue"
"2/07/2015","2:45:30 PM","blue 2",-25.55832869,153.06735657,137.100006103516,"Tall Open",8,"Week 2","blue"
"2/07/2015","2:46:29 PM","blue 2",-25.55841849,153.0673172,137,"Tall Open",9,"Week 2","blue"
"2/07/2015","2:50:31 PM","blue 2",-25.55901251,153.06766441,151,"Tall Open",25,"Week 2","blue"
"2/07/2015","2:52:40 PM","blue 2",-25.55921811,153.06798612,148.199996948242,"Tall Open",10,"Week 2","blue"
"2/07/2015","2:56:00 PM","blue 2",-25.55969887,153.06881615,146.600006103516,"Tall Open",20,"Week 2","blue"
"2/07/2015","2:57:34 PM","blue 2",-25.55972358,153.06914783,152.899993896484,"Tall Open",22,"Week 2","blue"
"2/07/2015","2:58:39 PM","blue 2",-25.55972129,153.06940339,148.5,"Tall Open",25,"Week 2","blue"
"2/07/2015","2:59:44 PM","blue 2",-25.55986997,153.06942465,150.699996948242,"Tall Open",35,"Week 2","blue"
"2/07/2015","3:01:59 PM","blue 2",-25.56059757,153.06924249,162.5,"Tall Open",30,"Week 2","blue"
"2/07/2015","3:08:07 PM","blue 2",-25.56114289,153.06991552,174.800003051758,"Tall Open",25,"Week 2","blue"
"2/07/2015","3:09:55 PM","blue 2",-25.5613567,153.06983524,168.600006103516,"Tall Open",25,"Week 2","blue"
"2/07/2015","3:10:15 PM","blue 2",-25.56137693,153.06981711,167.600006103516,"Tall Open",20,"Week 2","blue"
"2/07/2015","3:10:20 PM","blue 2",-25.56138396,153.06981183,169.199996948242,"Tall Open",20,"Week 2","blue"
"2/07/2015","3:11:25 PM","blue 2",-25.56155346,153.06958442,170,"Tall Open",22,"Week 2","blue"
"2/07/2015","3:14:14 PM","blue 2",-25.5619291,153.06885379,169.800003051758,"Tall Open",21,"Week 2","blue"
"2/07/2015","3:55:31 PM","blue 2",-25.5797316,153.0777493,163.899993896484,"Tall Open",32,"Week 2","blue"
"2/07/2015","3:55:39 PM","blue 2",-25.57973167,153.07774929,163.899993896484,"Tall Open",25,"Week 2","blue"
"2/07/2015","3:59:53 PM","blue 2",-25.58031595,153.07825885,157.5,"Tall Open",15,"Week 2","blue"
"2/07/2015","4:00:51 PM","blue 2",-25.5805843,153.07839086,157.300003051758,"Tall Open",25,"Week 2","blue"
"2/07/2015","4:14:58 PM","blue 2",-25.58787705,153.08356287,74.3000030517578,"Tall Open",20,"Week 2","blue"
"2/07/2015","3:04:48 PM","blue 3",-25.56908168,153.07227277,151.399993896484,"Medium Open",20,"Week 2","blue"
"2/07/2015","3:04:58 PM","blue 3",-25.56907399,153.07229469,153.300003051758,"Medium Open",15,"Week 2","blue"
"2/07/2015","3:05:26 PM","blue 3",-25.56909195,153.07230611,152.100006103516,"Medium Open",35,"Week 2","blue"
"2/07/2015","3:05:54 PM","blue 3",-25.56909354,153.07230745,152.199996948242,"Medium Open",20,"Week 2","blue"
"2/07/2015","3:07:48 PM","blue 3",-25.56923997,153.07235025,152.699996948242,"Medium Open",30,"Week 2","blue"
"2/07/2015","3:08:16 PM","blue 3",-25.56934218,153.07236407,151,"Medium Open",15,"Week 2","blue"
"2/07/2015","3:09:40 PM","blue 3",-25.56939167,153.07241363,154.100006103516,"Medium Open",20,"Week 2","blue"
"2/07/2015","3:09:53 PM","blue 3",-25.56939467,153.07241375,154.199996948242,"Medium Open",20,"Week 2","blue"
"2/07/2015","3:10:04 PM","blue 3",-25.5694294,153.07243002,154.5,"Medium Open",22,"Week 2","blue"
"2/07/2015","3:10:54 PM","blue 3",-25.56942767,153.07243823,156.399993896484,"Medium Open",16,"Week 2","blue"
"2/07/2015","3:13:15 PM","blue 3",-25.56971446,153.07272279,159.300003051758,"Medium Open",30,"Week 2","blue"
"2/07/2015","3:14:55 PM","blue 3",-25.56994899,153.07297466,153.100006103516,"Medium Open",35,"Week 2","blue"
"2/07/2015","3:15:00 PM","blue 3",-25.56994935,153.07297422,153.100006103516,"Medium Open",30,"Week 2","blue"
"2/07/2015","3:15:37 PM","blue 3",-25.56994937,153.07297438,153.100006103516,"Medium Open",15,"Week 2","blue"
"2/07/2015","3:15:47 PM","blue 3",-25.56994942,153.07297438,153.100006103516,"Medium Open",30,"Week 2","blue"
"2/07/2015","3:16:27 PM","blue 3",-25.57006847,153.07304038,142.199996948242,"Medium Open",20,"Week 2","blue"
